2.17, 1, orange, Exit
2.17, 4, orange, Entry
2.17, 1, mustard, Exit
2.17, 4, mustard, Entry
2.33, 4, orange, Exit
2.33, 1, orange, Entry
2.33, 1, orange, Exit
2.33, 4, orange, Entry
2.8, 4, white, Exit
2.8, 1, white, Entry
2.8, 1, white, Exit
2.8, 4, white, Entry
2.8, 4, white, Exit
2.8, 3, white, Entry
2.83, 3, white, Exit
2.83, 1, white, Entry
2.83, 1, white, Exit
2.83, 3, white, Entry
2.83, 3, white, Exit
2.83, 4, white, Entry
2.87, 4, white, Exit
2.87, 1, white, Entry
2.87, 1, white, Exit
2.87, 3, white, Entry
2.87, 3, white, Exit
2.87, 4, white, Entry
2.9, 4, white, Exit
2.9, 1, white, Entry
2.9, 1, white, Exit
2.9, 3, white, Entry
2.9, 3, white, Exit
2.9, 4, white, Entry
2.9, 4, white, Exit
2.9, 3, white, Entry
2.9, 3, white, Exit
2.9, 4, white, Entry
2.9, 4, white, Exit
2.9, 3, white, Entry
2.93, 3, white, Exit
2.93, 1, white, Entry
2.93, 1, white, Exit
2.93, 4, white, Entry
2.93, 4, white, Exit
2.93, 3, white, Entry
2.93, 3, white, Exit
2.93, 4, white, Entry
2.93, 4, white, Exit
2.93, 3, white, Entry
2.93, 3, white, Exit
2.93, 4, white, Entry
2.93, 4, white, Exit
2.93, 3, white, Entry
2.97, 3, white, Exit
2.97, 1, white, Entry
2.97, 1, white, Exit
2.97, 3, white, Entry
2.97, 3, white, Exit
2.97, 4, white, Entry
2.97, 4, white, Exit
2.97, 3, white, Entry
2.97, 3, white, Exit
2.97, 4, white, Entry
2.97, 4, white, Exit
2.97, 3, white, Entry
2.97, 3, white, Exit
2.97, 4, white, Entry
2.97, 4, white, Exit
2.97, 3, white, Entry
3.0, 3, white, Exit
3.0, 1, white, Entry
3.0, 1, white, Exit
3.0, 3, white, Entry
3.0, 3, white, Exit
3.0, 4, white, Entry
3.0, 4, white, Exit
3.0, 3, white, Entry
3.0, 3, white, Exit
3.0, 4, white, Entry
3.0, 4, white, Exit
3.0, 3, white, Entry
3.03, 3, white, Exit
3.03, 1, white, Entry
3.03, 1, white, Exit
3.03, 4, white, Entry
3.03, 4, white, Exit
3.03, 3, white, Entry
3.03, 3, white, Exit
3.03, 4, white, Entry
3.03, 4, white, Exit
3.03, 3, white, Entry
3.07, 3, white, Exit
3.07, 1, white, Entry
3.07, 1, white, Exit
3.07, 2, white, Entry
3.07, 2, white, Exit
3.07, 1, white, Entry
3.07, 1, white, Exit
3.07, 3, white, Entry
3.07, 3, white, Exit
3.07, 4, white, Entry
3.07, 4, white, Exit
3.07, 3, white, Entry
3.07, 3, white, Exit
3.07, 4, white, Entry
3.07, 4, white, Exit
3.07, 3, white, Entry
3.1, 3, white, Exit
3.1, 1, white, Entry
3.1, 1, white, Exit
3.1, 2, white, Entry
3.1, 2, white, Exit
3.1, 1, white, Entry
3.1, 1, white, Exit
3.1, 2, white, Entry
3.1, 2, white, Exit
3.1, 1, white, Entry
3.1, 1, white, Exit
3.1, 2, white, Entry
3.1, 2, white, Exit
3.1, 1, white, Entry
3.1, 1, white, Exit
3.1, 3, white, Entry
3.1, 3, white, Exit
3.1, 4, white, Entry
3.1, 4, white, Exit
3.1, 3, white, Entry
3.1, 3, white, Exit
3.1, 4, white, Entry
3.1, 4, white, Exit
3.1, 3, white, Entry
3.13, 3, white, Exit
3.13, 1, white, Entry
3.13, 1, white, Exit
3.13, 2, white, Entry
3.13, 2, white, Exit
3.13, 1, white, Entry
3.13, 1, white, Exit
3.13, 3, white, Entry
3.13, 3, white, Exit
3.13, 4, white, Entry
3.13, 4, white, Exit
3.13, 3, white, Entry
3.17, 3, white, Exit
3.17, 1, white, Entry
3.17, 1, white, Exit
3.17, 2, white, Entry
3.17, 2, white, Exit
3.17, 1, white, Entry
3.17, 1, white, Exit
3.17, 2, white, Entry
3.17, 2, white, Exit
3.17, 1, white, Entry
3.17, 1, white, Exit
3.17, 3, white, Entry
3.17, 3, white, Exit
3.17, 4, white, Entry
3.17, 4, white, Exit
3.17, 3, white, Entry
3.17, 3, white, Exit
3.17, 4, white, Entry
3.17, 4, white, Exit
3.17, 3, white, Entry
3.2, 3, white, Exit
3.2, 1, white, Entry
